"PORTAL";"URL_ANUNCIO";"COD_POSTAL";"MUNICIPIO";"DISTRITO";"BARRIO";"PRECIO";"M2";"FECHA_PROCESADO"
idealista;http://www.idealista.com/2265289;"28946";Fuenlabrada;Sudeste Industrial;;"4400";"1100";"2017-11-01"
idealista;http://www.idealista.com/2265293;"28350";Ciempozuelos;Casco Antiguo sur;;"1000";"100";"2017-11-01"
idealista;http://www.idealista.com/2265296;"28946";Fuenlabrada;Sudeste Industrial;;"12000";"1650";"2017-11-01"
idealista;http://www.idealista.com/2265563;"28140";Fuente el Saz de Jarama;;;"2200";"1100";"2017-11-01"
idealista;http://www.idealista.com/2265843;"28770";Colmenar Viejo;San Crispín - La Estación Consorcio;;"1900";"401";"2017-11-01"
idealista;http://www.idealista.com/2265844;"28770";Colmenar Viejo;San Crispín - La Estación Consorcio;;"2800";"553";"2017-11-01"
idealista;http://www.idealista.com/2266068;"28850";Torrejón de Ardoz;Sureste;;"450";"30";"2017-11-01"
idealista;http://www.idealista.com/2266186;"28108";Alcobendas;Zona Industrial;;"3500";"525";"2017-11-01"
idealista;http://www.idealista.com/2266197;"28047";Madrid;Latina;Los Cármenes;"490";"70";"2017-11-01"
idealista;http://www.idealista.com/2268225;"28983";Parla;Las Américas;;"450";"41";"2017-11-01"
idealista;http://www.idealista.com/2268237;"28110";Algete;;;"700";"210";"2017-11-01"
idealista;http://www.idealista.com/2268412;"28912";Leganés;Centro;Casco Antiguo;"600";"75";"2017-11-01"
idealista;http://www.idealista.com/2268443;"28017";Madrid;Ciudad Lineal;Pueblo Nuevo;"499";"50";"2017-11-01"
idealista;http://www.idealista.com/2268696;"28982";Parla;Reyes;;"500";"95";"2017-11-01"
idealista;http://www.idealista.com/2268699;"28760";Tres Cantos;Primera Fase - Nuevo Tres Cantos;;"650";"65";"2017-11-01"
idealista;http://www.idealista.com/2268855;"28925";Alcorcón;Bellasvistas - Hipercor;;"700";"100";"2017-11-01"
idealista;http://www.idealista.com/2269097;"28028";Madrid;Salamanca;Fuente del Berro;"1000";"94";"2017-11-01"
idealista;http://www.idealista.com/2269244;"28013";Madrid;Centro;Sol;"2400";"90";"2017-11-01"
idealista;http://www.idealista.com/2269435;"28722";El Vellón;;;"350";"140";"2017-11-01"
idealista;http://www.idealista.com/2269634;"28002";Madrid;Chamartín;Prosperidad;"850";"70";"2017-11-01"
idealista;http://www.idealista.com/2269692;"28045";Madrid;Arganzuela;Palos de Moguer;"1800";"135";"2017-11-01"
idealista;http://www.idealista.com/2270091;"28300";Aranjuez;Centro;;"800";"140";"2017-11-01"
idealista;http://www.idealista.com/2270384;"28021";Madrid;Villaverde;San Andrés;"1000";"144";"2017-11-01"
idealista;http://www.idealista.com/2270460;"28770";Colmenar Viejo;Centro;;"650";"90";"2017-11-01"
idealista;http://www.idealista.com/2270555;"28050";Madrid;Hortaleza;Sanchinarro;"2200";"104";"2017-11-01"
idealista;http://www.idealista.com/2271091;"28005";Madrid;Arganzuela;Imperial;"1350";"80";"2017-11-01"
idealista;http://www.idealista.com/2271689;"28830";San Fernando de Henares;Centro;;"1790";"195";"2017-11-01"
idealista;http://www.idealista.com/2271690;"28027";Madrid;Ciudad Lineal;Pueblo Nuevo;"1400";"74";"2017-11-01"
idealista;http://www.idealista.com/2271921;"28400";Collado Villalba;Carlos Ruiz;;"800";"280";"2017-11-01"
idealista;http://www.idealista.com/2271970;"28029";Madrid;Tetuán;Ventilla-Almenara;"3000";"302";"2017-11-01"
idealista;http://www.idealista.com/2271978;"28025";Madrid;Carabanchel;Vista Alegre;"700";"81";"2017-11-01"
idealista;http://www.idealista.com/2273401;"28100";Alcobendas;Alcobendas Centro;;"825";"250";"2017-11-01"
idealista;http://www.idealista.com/2273777;"28011";Madrid;Latina;Puerta del Ángel;"350";"50";"2017-11-01"
idealista;http://www.idealista.com/2274212;"28821";Coslada;Coslada Pueblo;;"900";"90";"2017-11-01"
idealista;http://www.idealista.com/2274640;"28028";Madrid;Salamanca;Fuente del Berro;"250";"13";"2017-11-01"
idealista;http://www.idealista.com/2275154;"28018";Madrid;Puente de Vallecas;Palomeras Bajas;"875";"202";"2017-11-01"
idealista;http://www.idealista.com/2275198;"28033";Madrid;Hortaleza;Pinar del Rey;"395";"23";"2017-11-01"
idealista;http://www.idealista.com/2275239;"28902";Getafe;Getafe Centro;;"750";"105";"2017-11-01"
idealista;http://www.idealista.com/2275311;"28806";Alcalá de Henares;San Isidro - Los Almendros;;"1000";"205";"2017-11-01"
idealista;http://www.idealista.com/2276521;"28970";Humanes de Madrid;;;"750";"325";"2017-11-01"
idealista;http://www.idealista.com/2277095;"28917";Leganés;La Fortuna;La Fortuna;"1300";"284";"2017-11-01"
idealista;http://www.idealista.com/2277141;"28047";Madrid;Latina;Aluche;"1400";"220";"2017-11-01"
idealista;http://www.idealista.com/2278982;"28011";Madrid;Latina;Lucero;"425";"90";"2017-11-01"
idealista;http://www.idealista.com/2279140;"28823";Coslada;El Barral Ferial;;"9000";"3769";"2017-11-01"
idealista;http://www.idealista.com/2279141;"28022";Madrid;San Blas;Rejas;"9000";"2256";"2017-11-01"
idealista;http://www.idealista.com/2280130;"28015";Madrid;Chamberí;Gaztambide;"3000";"500";"2017-11-01"
idealista;http://www.idealista.com/2280202;"28100";Alcobendas;Ensanche;;"550";"51";"2017-11-01"
idealista;http://www.idealista.com/2281532;"28880";Meco;;;"750";"270";"2017-11-01"
idealista;http://www.idealista.com/2281969;"28200";San Lorenzo de el Escorial;Centro - Casco Histórico;;"450";"75";"2017-11-01"
idealista;http://www.idealista.com/2282747;"28019";Madrid;Carabanchel;Comillas;"1175";"45";"2017-11-01"
idealista;http://www.idealista.com/2283901;"28011";Madrid;Latina;Puerta del Ángel;"1190";"165";"2017-11-01"
idealista;http://www.idealista.com/2284056;"28041";Madrid;Villaverde;Los Rosales;"500";"50";"2017-11-01"
idealista;http://www.idealista.com/2284821;"28945";Fuenlabrada;La Avanzada - La Cueva;;"480";"90";"2017-11-01"
idealista;http://www.idealista.com/2285501;"28723";Pedrezuela;;;"490";"38";"2017-11-01"
idealista;http://www.idealista.com/2285633;"28047";Madrid;Latina;Lucero;"600";"68";"2017-11-01"
idealista;http://www.idealista.com/2285771;"28342";Valdemoro;Guardia Civil - Zona Industrial;;"1000";"130";"2017-11-01"
idealista;http://www.idealista.com/2286167;"28770";Colmenar Viejo;El Mirador;;"4000";"672";"2017-11-01"
idealista;http://www.idealista.com/2286546;"28803";Alcalá de Henares;Venecia - Nueva Alcalá;;"650";"84";"2017-11-01"
idealista;http://www.idealista.com/2287425;"28823";Coslada;El Barral Ferial;;"9000";"4982";"2017-11-01"
